county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851369?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549349220362.jpg,-0.36086147,37.6525572,1440,5
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42036,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851370?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549349581389.jpg,-0.36172001,37.66146529,1376,5
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42036,n/a,n/a,Operational,no,n/a,Fair,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851371?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549349708471.jpg,-0.36181967,37.6615529,1369,4
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851380?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549349834672.jpg,-0.3618557,37.66157431,1367,4
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851391?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549349993321.jpg,-0.36199849,37.66153268,1354,3
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851399?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549350131920.jpg,-0.36196659,37.66133578,1358,6
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,storage_tank,masonry_tank,n/a,n/a,yes,41671,yes,Fair,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,Enough,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851409?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549350931897.jpg,-0.37172995,37.68021632,1333,6
Tharaka Nithi,UIP,Muiru-Cheera Distribution Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Conumer Meters,  2 Tank",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41671,yes,Good,Operational,no,Regular,Good,Good,yes,Individual,Women,150,n/a,n/a,Enough,Good,Days_per_Month,n/a,8_16,n/a,TRUE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10851410?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549352208576.jpg,-0.37154143,37.68106413,1343,5
Tharaka Nithi,UIP,Chuka Municipal Sanitation Project,2013/2014,UPC,KfW,1 connected to septic tank,sanitation,psf,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,41671,yes,Fair,Operational,no,n/a,Good,Good,yes,Group,Youth,50,Good,yes,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,FALSE,TRUE,http://classic.ona.io/api/v1/files/10851414?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549358585425.jpg,-0.33502157,37.64496975,1422,6
Tharaka Nithi,UIP,Nithi Household Sanitation Project,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets; 1 No. DTF,sanitation,household_sanitation,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,42767,yes,Fair,Operational,no,n/a,Good,Fair,n/a,n/a,n/a,40,Fair,yes,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10851415?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549355388920.jpg,-0.3299561,37.64962099,1417,4
