county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Tharaka Nithi,WRI,Ruguti WRUA,2017/2018,IFAD,IFAD,"Rain Water harvesting - Water pans, Report preparation. Riparian land conservation (10,000 Seedlings)
Catchment  protection,  (80 gabions and 6 water pans) .Riparian land marking and pegging, Abstraction and Pollution survey, 
monitoring and evaluation.

",water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42767,no,n/a,Operational,no,Seasonal,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Limited,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10853432?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549371062677.jpg,-0.399328333,37.70301333,1209.9,5.4
Garissa,RIP,Kasha Community Water Project,2015/2016,MTAP II,Danida,"Rc 6M Tank Tower, 2No. 10m3 Plastic Tanks, Solar Powered Pump, 9Km Pipeline, 4No. Water Kiosks,  2No. 10m3 Rain Water Harvesting Tanks, Publicity, Sign, Branding, Labelling, Training",sanitation,community_sanitation_facility,n/a,vip_latrine_regular,vip_latrine_regular,yes,42705,yes,Good,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,57,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,FALSE,TRUE,http://classic.ona.io/api/v1/files/10853972?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548857865251.jpg,-0.09456973,39.19887127,177.4893188,3.216
Garissa,WRI,Kasha,2015/2016,MTAP II,Danida,"Scmp Implementation-Installation Of 5 Roof Water Harvesting Tanks.Construction Of Sand Dams In Lagha Bukurool.Development Of 5No Malkasalong Watering Points In Kasha Sub Catchment.Construction Of 10 No Beehives. Carry Out Training On Good Governance, Finance, Procurement and Proposal Development",water_resources,catchment_management,n/a,n/a,n/a,yes,42705,no,n/a,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10854004?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548855425681.jpg,-0.08807014,39.10114982,173.9104004,4.288
Tharaka Nithi,WRI,Ruguti WRUA,2017/2018,IFAD,IFAD,"Rain Water harvesting - Water pans, Report preparation. Riparian land conservation (10,000 Seedlings)
Catchment  protection,  (80 gabions and 6 water pans) .Riparian land marking and pegging, Abstraction and Pollution survey, 
monitoring and evaluation.

",water_resources,water_resources_management_structures,n/a,n/a,n/a,no,n/a,no,n/a,Non_operational,yes,Regular,Poor,Poor,no,n/a,n/a,n/a,n/a,n/a,Permanently_dry,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10854035?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549376041090.jpg,-0.379148333,37.83758333,794.1,4.6
Marsabit,RIP,North Horr Water project,2014/2015,MTAP I,Danida,"Rehabilitation Of 2No.Shallow Wells,Repair Of An Existing Masonary Tank,, Provision Of 4No.,Plastic Storage Tanks, Expansion Of Existing Water Supply To 4No.New Kiosks, Cattle Toughs.",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41671,yes,Good,Operational,no,Regular,Good,Good,yes,Committee,Women,150,n/a,n/a,Enough,Good,Days_per_Month,n/a,8_16,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10854529?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549084490841.jpg,3.32093729,37.0717285,361,5
Marsabit,RIP,North Horr Water project,2014/2015,MTAP I,Danida,"Rehabilitation Of 2No.Shallow Wells,Repair Of An Existing Masonary Tank,, Provision Of 4No.,Plastic Storage Tanks, Expansion Of Existing Water Supply To 4No.New Kiosks, Cattle Toughs.",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41671,yes,Good,Operational,no,Regular,Good,Good,yes,Committee,Women,150,n/a,n/a,Enough,Good,Days_per_Month,n/a,8_16,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10854538?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549020191374.jpg,3.30761451,37.05901614,355,5
Marsabit,RIP,North Horr Water project,2014/2015,MTAP I,Danida,"Rehabilitation Of 2No.Shallow Wells,Repair Of An Existing Masonary Tank,, Provision Of 4No.,Plastic Storage Tanks, Expansion Of Existing Water Supply To 4No.New Kiosks, Cattle Toughs.",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41671,yes,Fair,Operational,no,Regular,Good,Good,yes,Committee,Women,150,n/a,n/a,Enough,Good,Hours_per_Day,12_18,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10854790?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549022024800.jpg,3.3227858,37.06857693,359,3
Marsabit,RIP,El-Isako Mala  Primary School,2014/2015,MTAP I,Danida,"2 Four Door Vip Latrines, 920 Lts Handwashing Tank,Training and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41609,yes,Poor,Non_operational,yes,n/a,Poor,Fair,n/a,n/a,n/a,0,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10855477?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549004834084.jpg,3.257466667,37.00122,395.1,1.8
Marsabit,RIP,El-Isako Mala  Primary School,2014/2015,MTAP I,Danida,"2 Four Door Vip Latrines, 920 Lts Handwashing Tank,Training and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41609,yes,Good,Operational,yes,n/a,Fair,Good,n/a,n/a,n/a,106,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10855479?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549005167435.jpg,3.257191667,37.00060167,394.7,2.4
Tana River,RIP,Assa Boarding Primary School,2013/2014,MTAP I,Danida,"4No. Pvc 10,000 Lts Tank , Gutters, Handwashing Buckets and Branding",water_supply,rainwater_harvesting,roof_catchment,n/a,n/a,yes,41791,n/a,n/a,Non_operational,yes,n/a,Poor,Poor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10855755?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549352637326.jpg,-2.0501228,39.42385341,144,4
